Date,Close/Last,Volume,Open,High,Low
10/24/2023,$95.17,3570733,$93.69,$95.39,$93.095
10/23/2023,$92.74,5017216,$94.30,$94.84,$92.30
10/20/2023,$94.42,5854807,$93.17,$94.90,$92.28
10/19/2023,$94.22,10102540,$97.34,$98.66,$94.16
10/18/2023,$102.30,5184456,$104.12,$104.16,$101.62
10/17/2023,$105.33,2918242,$103.40,$106.19,$103.23
10/16/2023,$104.54,3723811,$105.00,$106.36,$103.69
10/13/2023,$103.80,3470442,$105.11,$105.3611,$102.33
10/12/2023,$104.86,2724362,$107.56,$107.60,$104.10
10/11/2023,$107.27,2442754,$106.09,$107.36,$105.38
10/10/2023,$105.29,2829632,$105.12,$106.78,$105.00
10/09/2023,$104.81,2354149,$103.24,$105.32,$103.05
10/06/2023,$105.13,3259443,$102.74,$105.96,$101.90
10/05/2023,$104.19,3250561,$103.76,$104.445,$102.68
10/04/2023,$104.24,3331204,$103.49,$104.64,$102.41
10/03/2023,$103.22,4536857,$105.86,$106.23,$102.44
10/02/2023,$107.16,2827047,$106.62,$108.11,$106.25
09/29/2023,$107.14,5117259,$109.11,$109.775,$106.79
09/28/2023,$108.23,3957651,$106.00,$109.34,$105.74
09/27/2023,$106.55,4350342,$106.30,$107.2595,$105.07
09/26/2023,$105.94,5611062,$109.46,$109.855,$105.35
09/25/2023,$110.30,4804249,$111.00,$111.2569,$109.26
09/22/2023,$111.18,3507928,$111.55,$112.20,$110.42
09/21/2023,$111.13,5836239,$113.00,$113.305,$110.61
09/20/2023,$114.22,5848194,$115.57,$116.78,$113.645
09/19/2023,$115.12,5627911,$114.12,$115.52,$113.58
09/18/2023,$114.37,8648168,$113.55,$115.22,$113.02
09/15/2023,$113.79,117475900,$113.89,$115.1863,$112.90
09/14/2023,$112.71,6855390,$113.88,$113.90,$112.06
09/13/2023,$112.75,6835007,$112.925,$113.73,$112.015
09/12/2023,$112.54,5232741,$113.42,$114.24,$112.47
09/11/2023,$113.50,7250318,$113.02,$114.96,$112.94
09/08/2023,$112.67,11235500,$109.79,$112.825,$109.66
09/07/2023,$109.39,10221260,$106.76,$110.29,$106.34
